Models,Instruction # 1,Instruction # 2,Instruction # 3,Instruction # 4,Instruction # 5,Instruction # 6,Instruction # 7,Instruction # 8,Instruction # 9,Instruction # 10
[ChatGPT](https://openai.com/blog/chatgpt),9.52,9.52,11.90,9.52,21.43,0,19.05,11.90,0,7.14
[LLaMA1-7B-hf](https://huggingface.co/baffo32/decapoda-research-llama-7B-hf),26.19,21.43,7.14,4.76,9.52,2.38,21.43,4.76,0,2.38
[LLaMA1-13B-hf](https://huggingface.co/srikanthmalla/decapoda-research-llama-13b-hf/tree/main),16.67,16.67,4.76,4.76,14.29,14.29,16.67,11.90,0,0 
[LLaMA2-7B-hf](https://huggingface.co/meta-llama/Llama-2-7b-hf),21.43,21.43,11.90,7.14,14.29,7.14,7.14,0,9.52,0
[LLaMA2-13B-hf](https://huggingface.co/meta-llama/Llama-2-13b-hf),16.67,26.19,0,2.38,19.05,14.29,19.05,2.38,0,0
[Mixtral-AWQ](https://huggingface.co/ybelkada/Mixtral-8x7B-Instruct-v0.1-AWQ),19.05,9.52,19.05,0,21.43,0,14.29,0,9.52,7.14
[Gemma-7B](https://huggingface.co/google/gemma-7b-it),7.14,19.05,7.14,7.14,16.67,0,19.05,7.14,7.14,9.52
[Flan-T5-xxl](https://huggingface.co/google/flan-t5-xxl),4.76,9.52,9.52,9.52,9.52,11.90,11.90,4.76,14.29,14.29
LLMs-Total,121.43,133.33,71.41,45.22,126.20,50.00,128.58,42.84,40.47,40.47
[Gemini-V](https://ai.google.dev/?gad_source=1&gclid=CjwKCAiA6KWvBhAREiwAFPZM7nRlqCw_2aeZ4cxrQgLHumHdCWiVqSk73-kR7bRJXcxWxlGGt-r1WxoCCjEQAvD_BwE),14.29,9.52,11.90,11.90,9.52,0,4.29,23.81,2.38,2.38
[OpenFlamingo](https://huggingface.co/openflamingo/OpenFlamingo-9B-deprecated),26.19,21.43,2.38,0,11.90,2.38,21.43,4.76,9.52,0
[Fromage](https://github.com/chiayewken/multimodal-inference/releases/download/v0.1.0/fromage_model.zip),11.90,30.95,2.38,0,4.76,21.43,23.81,0,4.76,0
[LLaVA-v0-7B](https://huggingface.co/liuhaotian/LLaVA-7b-delta-v0),0,14.29,11.90,4.76,19.05,9.52,16.67,7.14,7.14,9.52
[LLaVA-v0-13B](https://huggingface.co/liuhaotian/LLaVA-13b-delta-v0),2.38,7.14,4.76,23.81,16.67,9.52,16.67,2.38,11.90,4.76
[LLaVA-v1.6-7B](https://huggingface.co/liuhaotian/llava-v1.6-vicuna-7b),16.67,7.14,4.76,2.38,9.52,9.52,19.05,14.29,11.90,4.76
[LLaVA-v1.6-13B](https://huggingface.co/liuhaotian/llava-v1.6-vicuna-13b),11.90,9.52,21.43,7.14,7.14,2.38,14.29,7.14,11.90,7.14
[MiniGPT4](https://drive.google.com/file/d/1a4zLvaiDBr-36pasffmgpvH5P7CKmpze/view),2.38,16.67,7.14,16.67,11.90,9.52,9.52,0,11.90,14.29
[mPLUG-Owl](https://huggingface.co/MAGAer13/mplug-owl-llama-7b),26.19,19.05,2.38,0,7.14,19.05,14.29,2.38,7.14,2.38
[mPLUG-Owl2.1](https://huggingface.co/Mizukiluke/mplug_owl_2_1),9.52,2.38,23.81,4.76,23.81,11.90,14.29,7.14,0,2.38
[LLaMA-AdapterV2](https://github.com/OpenGVLab/LLaMA-Adapter),11.90,11.90,4.76,16.67,2.38,0,11.90,14.29,11.90,14.29
[VPGTrans](https://github.com/VPGTrans/VPGTrans?tab=readme-ov-file),2.38,2.38,21.43,19.05,9.52,23.81,4.76,0,16.67,0
[Multimodal-GPT](https://github.com/open-mmlab/Multimodal-GPT),23.81,23.81,7.14,2.38,14.29,2.38,21.43,0,4.76,0
[LaVIN-7B](https://github.com/luogen1996/LaVIN),11.90,19.05,11.90,7.14,16.67,4.76,16.67,2.38,2.38,7.14
[LaVIN-13B](https://github.com/luogen1996/LaVIN),14.29,21.43,4.76,14.29,9.52,11.90,21.43,0,0,2.38
[Lynx](https://github.com/bytedance/lynx-llm/tree/main),7.14,19.05,2.38,4.76,2.38,14.29,16.67,0,21.43,11.9
[Fuyu-8B](https://huggingface.co/adept/fuyu-8b),7.14,14.29,14.29,4.76,16.67,2.38,16.67,7.14,14.29,2.38
[LaVIT](https://huggingface.co/rain1011/LaVIT-7B-v2),11.90,21.43,11.90,9.52,9.52,4.76,2.38,16.67,4.76,7.14
[Qwen-VL-Chat](https://huggingface.co/Qwen/Qwen-VL-Chat),11.90,7.14,11.90,9.52,7.14,11.90,19.05,7.14,11.90,2.38
[BLIP-2](https://huggingface.co/Salesforce/blip2-flan-t5-xxl),4.76,14.29,7.14,11.90,4.76,9.52,11.90,2.38,16.67,16.67
[InstructBLIP](https://huggingface.co/Salesforce/instructblip-flan-t5-xxl),7.14,14.29,9.52,7.14,14.29,4.76,4.76,7.14,16.67,14.29
MLLMs-Total,235.68,307.15,199.96,178.55,228.55,185.68,311.93,126.18,199.97,126.18
Total,357.11,440.48,271.37,223.77,354.75,235.68,440.51,169.02,240.44,166.65